Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Limfjord,Denmark,Green33,56.90155000,9.05516667,4,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,3,0,376,28,2019-11-11,2020-04-08
Limfjord,Denmark,Green33,56.90155000,9.05516667,4,2020-11-10,2021-10,ARMS_Limfjord_Green33_20201110_00000000,0,0,0,0,2020-12-16,2020-12-16
Limfjord,Denmark,Green33,56.90155000,9.05516667,4,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,0,0,0,24,2019-11-11,2020-12-19
Limfjord,Denmark,Red2,56.89985000,9.05663333,4,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,3,0,224,56,2019-11-11,2020-04-08
Limfjord,Denmark,Red2,56.89985000,9.05663333,4,2020-11-10,2021-10,ARMS_Limfjord_Red2_20201110_00000000,0,0,0,0,2020-12-16,2020-12-16
Limfjord,Denmark,Red2,56.89985000,9.05663333,4,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,0,0,0,21,2019-11-11,2020-12-19
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,3,0,677,99,2019-11-11,2020-04-08
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2019-10-29,2020-11-10,ARMS_Limfjord_Yellow8_20191029_20201110,0,0,0,0,2019-11-11,2020-12-19
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2019-10-29,2019-10-29T11:00:00Z,ARMS_Limfjord_Yellow8_20191029_00000000,0,0,0,0,2020-01-03,2020-01-03
Limfjord,Denmark,Yellow8,56.90131667,9.05733333,3.5,2020-11-10,2021-10,ARMS_Limfjord_Yellow8_20201110_00000000,0,0,0,0,2020-12-16,2020-12-16
