column,datatype,propertyUrl
MaterialSample_ID,xsd:string,schema:identifier
Country,xsd:string,schema:country
Observatory_ID,xsd:string,schema:identifier
ARMS_ID,xsd:string,schema:identifier
Deploy_Date,xsd:string,schema:startDate
Collect_Date,xsd:string,schema:endDate
gene_COI,xsd:string,http://edamontology.org/data_1093
gene_18S,xsd:string,http://edamontology.org/data_1093
gene_ITS,xsd:string,http://edamontology.org/data_1093
negativeControl_gene_COI,xsd:string,http://edamontology.org/data_1093
negativeControl_gene_18S,xsd:string,http://edamontology.org/data_1093
negativeControl_gene_ITS,xsd:string,http://edamontology.org/data_1093
OtherDataLink,xsd:anyURI,schema:identifier
AccessRights,xsd:anyURI,http://purl.org/dc/terms/accessRights
AssociatedFileType,xsd:string,http://purl.org/dc/terms/type
longitude,xsd:double,schema:longitude
latitude,xsd:double,schema:latitude
depth,xsd:integer,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
Fraction,xsd:string,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
Preservative,xsd:string,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
Filter,xsd:integer,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
